"hs","lalpha","auq1","AUQ2"
"0602200000","TREES, SHRUBS AND BUSHES, GRAFTED OR NOT, OF KINDS WHICH BEARS EDIBLE FRUIT OR NUTS","NO",
"0602300000","RHODODENDRONS AND AZALEAS, GRAFTED OR NOT","NO",
"0602400000","ROSES, GRAFTED OR NOT","NO",
"0602902000","ORCHID PLANTS, LIVE","KG",
"0602903010","CHRYSANTHEMUMS WITH SOIL ATTACHED TO ROOTS","NO",
"0602903090","HERBACEOUS PERENNIALS WITH SOIL ATTACHED TO ROOTS, LIVE, NESOI","NO",
"0602904000","HERBACEOUS PERENNIALS, LIVE, WITHOUT SOIL ATTACHED TO ROOTS, NESOI","KG",
"0602905000","MUSHROOM SPAWN","KG",
"0602906010","TREES AND SHRUBS, LIVE, WITH SOIL ATTACHED TO ROOTS, NESOI","NO",
"0602906020","POINSETTIAS, LIVE, WITH SOIL ATTACHED TO ROOTS","NO",
"0602906090","PLANTS, LIVE, WITH SOIL ATTACHED TO ROOTS, NESOI","NO",
"0602909010","TREES AND SHRUBS, LIVE, WITHOUT SOIL ATTACHED TO ROOTS, NESOI","NO",
"0602909090","PLANTS, LIVE, WITHOUT SOIL ATTACHED TO ROOTS, NESOI","NO",
"0603110010","SWEETHEART ROSES, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES","NO",
"0603110030","SPRAY ROSES,  FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES","NO",
"0603110060","ROSES, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES, NESOI","NO",
"0603123000","MINIATURE (SPRAY) CARNATIONS, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES","NO",
"0603127000","STANDARD CARNATIONS, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES","NO",
"0603130050","DENDROBIUM ORCHIDS, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES","NO",
"0603130060","ORCHIDS EXCEPT DENDROBIUM, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES","NO",
"0603140010","POM POM CHRYSANTHEMUMS, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES","NO",
"0603140020","CHRYSANTHEMUMS EXCEPT POM POM, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES","NO",
"0603150000","LILIES, FRESH, OF A KIND SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES","NO",
"0603190105","ANTHURIMS, FRESH, SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES","NO",
"0603190110","ALSTROEMERIA, FRESH, OF A KIND SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES","NO",
"0603190120","GYPSOPHILA, FRESH, OF A KIND SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES","NO",
"0603190140","SNAPDRAGONS, FRESH, OF A KIND SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES","NO",
"0603190160","CUT FLOWERS AND FLOWER BUDS, FRESH, OF A KIND SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES, NESOI","NO",
"0603900000","CUT FLOWERS AND FLOWER BUDS OF A KIND SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES, DRIED, DYED, BLEACHED, IMPREGNATED OR OTHERWISE PREPARED","NO",
"0604200010","MOSSES AND LICHENS SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES, FRESH","X",
"0604200020","DOUGLAS-FIR EVERGREEN CHRISTMAS TREES, FRESH","NO",
"0604200040","FIR EXCEPT DOUGLAS FIR, EVERGREEN CHRISTMAS TREES, FRESH","NO",
"0604200060","EVERGREEN CHRISTMAS TREES, FRESH, NESOI","NO",
"0604200080","FOLIAGE, BRANCHES AND PARTS OF PLANTS, WITHOUT FLOWERS OR BUDS, AND GRASSES SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES, FRESH, NESOI","X",
"0604901000","MOSSES AND LICHENS SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES, DRIED, DYED, BLEACHED, IMPREGNATED OR OTHERWISE PREPARED","X",
"0604903000","FOLIAGE, BRANCHES AND OTHER PARTS OF PLANTS, WITHOUT FLOWERS OR BUDS, AND GRASSES SUITABLE FOR BOUQUETS OR FOR ORNAMENTAL PURPOSES, DRIED OR BLEACHED","X",
"0604906000","FOLIAGE, BRANCHES AND OTHER PARTS OF PLANTS, WITHOUT FLOWERS OR BUDS,AND GRASSES FOR BOUQUETS OR ORNAMENTAL PURPOSES, DYED, IMPREGNATED, OTHERWSE PREP","NO",
"0701100020","POTATOES, SEED, IN IMMEDIATE CONTAINERS OF NOT OVER 45 KG NET WEIGHT, FRESH OR CHILLED","KG",
"0701100040","POTATOES, SEED, FRESH OR CHILLED, NESOI","KG",
"0701901000","YELLOW (SOLANO) POTATOES, EXCEPT SEED, FRESH OR CHILLED","KG",
"0701905015","RUSSET OR NETTED GEM VARIETY POTATOES, FRESH OR CHILLED, IN IMMEDIATE CONTAINERS OF NOT OVER 1200 KG NET WEIGHT, EXCEPT SEED","KG",
"0701905025","RED SKIN VARIETY POTATOES, FRESH OR CHILLED, IN IMMEDIATE CONTAINERS OF NOT OVER 1200 KG NET WEIGHT, EXCEPT SEED","KG",
"0701905035","POTATOES, FRESH OR CHILLED, IN IMMEDIATE CONTAINERS OF NOT OVER 1200 KG NET WEIGHT, NESOI","KG",
"0703103000","PEARL ONIONS NOT OVER 16 MM IN DIAMETER, FRESH OR CHILLED","KG",
"0703104000","ONIONS AND SHALLOTS, OTHER THAN ONION SETS, FRESH OR CHILLED, NESOI","KG",
"0703200005","CERTIFIED ORGANIC GARLIC, FRESH WHOLE BULBS","KG",
"0703200015","GARLIC, FRESH WHOLE BULBS, OTHER THAN CERTIFIED ORGANIC","KG",
"0703200020","GARLIC, FRESH WHOLE PEELED CLOVES","KG",
"0703200090","GARLIC, FRESH OR CHILLED, NESOI","KG",
"0703900000","LEEKS AND OTHER ALLIACEOUS VEGETABLES, FRESH OR CHILLED","KG",
"0704200000","BRUSSELS SPROUTS, FRESH OR CHILLED","KG",
"0704904040","KOHLRABI, KALE AND SIMILAR EDIBLE BRASSICAS, FRESH OR CHILLED, NESOI","KG",
"0705210000","WITLOOF CHICORY (CICHORIUM INTYBUS VAR. FOLIOSUM), FRESH OR CHILLED","KG",
"0705290000","CHICORY (CICHORIUM SPP.), EXCEPT WITLOOF, FRESH OR CHILLED","KG",
"0706104000","TURNIPS, FRESH OR CHILLED","KG",
"0706902000","RADISHES, FRESH OR CHILLED","KG",
"0706904000","SALSIFY, CELERIAC & SIMILAR EDIBLE ROOTS, FRESH OR CHILLED","KG",
"0708201000","LIMA BEANS, ENTERED DURING THE PERIOD FROM NOVEMBER 1 IN ANY YEAR TO THE FOLLOWING MAY 31, INCLUSIVE, FRESH OR CHILLED","KG",
"0708202005","YARD-LONG BEANS (VIGNA UNGUICULATA SUBSP., SESQUIPEDALIS), FRESH OR CHILLED","KG",
"0708202010","COWPEAS, FRESH OR CHILLED, OTHER THAN BLACK-EYE PEAS, NESOI","KG",
"0708209005","BEANS OF THE GENUS VIGNA, FRESH OR CHILLED, NESOI","KG",
"0708209010","BEANS (PHASEOLUS SPP.), FRESH OR CHILLED, NESOI","KG",
"0708900500","CHICKPEAS (GARBANZOS), FRESH OR CHILLED","KG",
"0708901500","LENTILS, FRESH OR CHILLED","KG",
"0708902500","PIGEON PEAS, ENTERED DURING THE PERIOD FROM JULY 1 TO SEPTEMBER 30, INCLUSIVE, IN ANY YEAR, FRESH OR CHILLED","KG",
"0708903000","PIGEON PEAS, ENTERED DURING THE PERIOD FROM OCTOBER 1 TO JUNE 30, OF THE FOLLOWING YEAR, FRESH OR CHILLED","KG",
"0708904000","LEGUMINOUS VEGETABLES, SHELLED OR UNSHELLED, EXCEPT PEAS AND BEANS, FRESH OR CHILLED, NESOI","KG",
"0709302000","EGGPLANTS (AUBERGINES), ENTERED DURING THE PERIOD FROM APRIL 1 TO NOVEMBER 30, INCLUSIVE, IN ANY YEAR, FRESH OR CHILLED","KG",
"0709304000","EGGPLANTS (AUBERGINES), ENTERED DURING THE PERIOD FROM DECEMBER 1 TO MARCH 31 OF THE FOLLOWING YEAR, FRESH OR CHILLED","KG",
"0709510100","MUSHROOMS, OF THE GENUS AGARICUS,  FRESH OR CHILLED","KG",
"0709591000","TRUFFLES, FRESH OR CHILLED","KG",
"0709599000","MUSHROOMS, FRESH OR CHILLED, NESOI","KG",
"0709604015","PEPPERS, SWEET BELL-TYPE (CAPSICUM ANNUM), GREENHOUSE, CERTIFIED ORGANIC, FRESH OR CHILLED","KG",
"0709604025","PEPPERS, SWEET BELL-TYPE (CAPSICUM ANNUM), GREENHOUSE, FRESH OR CHILLED, OTHER THAN CERTIFIED ORGANIC","KG",
"0709604065","PEPPERS, SWEET BELL-TYPE (CAPSICUM ANNUM), CERTIFIED ORGANIC, FRESH OR CHILLED, OTHER THAN GREENHOUSE","KG",
"0709604085","PEPPERS, SWEET BELL-TYPE (CAPSICUM ANNUM), FRESH OR CHILLED, NESOI","KG",
"0709910000","GLOBE ARTICHOKES, FRESH OR CHILLED","KG",
"0709920000","OLIVES, FRESH OR CHILLED","KG",
"0709931000","PUMPKINS, FRESH OR CHILLED","KG",
"0709932010","SQUASH, CERTIFIED ORGANIC, FRESH OR CHILLED","KG",
"0709932050","SQUASH, FRESH OR CHILLED, NESOI","KG",
"0709933000","GOURDS (CURCUBITA SPP.), FRESH OR CHILLED","KG",
"0709990500","JICAMAS AND BREADFRUIT, FRESH OR CHILLED","KG",
"0709991000","CHAYOTE (SECHIUM EDULE), FRESH OR CHILLED","KG",
"0709991400","OKRA, FRESH OR CHILLED","KG",
"0709993000","FIDDLEHEAD GREENS, FRESH OR CHILLED","KG",
"0709994500","SWEET CORN, FRESH OR CHILLED","KG",
"0709999000","VEGETABLES, FRESH OR CHILLED, NESOI","KG",
"0710100000","POTATOES, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710212000","PEAS, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, ENTERED DURING THE PERIOD FROM JULY 1 TO SEPTEMBER 30, INCLUSIVE, IN ANY YEAR, FROZEN","KG",
"0710214000","PEAS, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, ENTERED DURING THE PERIOD FROM OCTOBER 1 TO JUNE 30, OF THE FOLLOWING YEAR, FROZEN","KG",
"0710221000","LIMA BEANS, NOT REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, ENTERED FROM NOVEMBER 1 IN ANY YEAR TO THE FOLLOWING MAY 31, FRZN","KG",
"0710221500","LIMA BEANS, NOT REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, ENTERED FROM JUNE 1 IN ANY YEAR TO THE FOLLOWING OCTOBER 31, FRZN","KG",
"0710222000","COWPEAS, OTHER THAN BLACK-EYE PEAS, NOT REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710222500","STRING BEANS (SNAP BEANS), NOT REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710223700","BEANS (VIGNA SPP., PHASEOLUS SPP.), NOT REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, NESOI","KG",
"0710224010","GREEN AND WAX BEANS (VIGNA SPP., PHASEOLUS SPP.), REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710224090","BEANS (VIGNA SPP., PHASEOLUS SPP.), REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, NESOI","KG",
"0710290500","CHICKPEAS (GARBANZOS), UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710291500","LENTILS, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710292500","PIGEON PEAS, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, ENTERED DURING JULY 1 TO SEPTEMBER 30, INCLUSIVE, IN ANY YEAR, FROZEN","KG",
"0710293000","PIGEON PEAS, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, ENTERED OCTOBER 1 TO JUNE 30, OF THE FOLLOWING YEAR, FROZEN","KG",
"0710294000","LEGUMINOUS VEGETABLES, SHELLED OR UNSHELLED, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, NESOI","KG",
"0710300000","SPINACH, NEW ZEALAND SPINACH AND ORACHE SPINACH (GARDEN SPINACH), UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710400000","SWEET CORN, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710801500","BAMBOO SHOOTS OR WATER CHESTNUTS OTHER THAN CHINESE WATER CHESTNUTS, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710802000","MUSHROOMS, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710804000","TOMATOES, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, ENTERED MARCH 1 TO JULY 14 OR SEPTEMBER 1 TO NOVEMBER 14, INCLUSIVE, IN ANY YEAR, FROZEN","KG",
"0710804500","TOMATOES, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, ENTERED DURING THE PERIOD JULY 15 TO AUGUST 31, INCLUSIVE, IN ANY YEAR, FROZEN","KG",
"0710805000","TOMATOES, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, ENTERED NOVEMBER 15 IN ANY YEAR TO THE LAST DAY OF THE FOLLOWING FEBRUARY, FROZEN","KG",
"0710806000","FIDDLEHEAD GREENS, NOT REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710806500","BRUSSELS SPROUTS, NOT REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710807040","CARROTS, NOT REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710807060","VEGETABLES, NOT REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, NESOI","KG",
"0710808500","BRUSSELS SPROUTS, REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710809300","OKRA, REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710809710","ASPARAGUS, REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710809722","BROCCOLI SPEARS, REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710809724","BROCCOLI EXCEPT SPEARS, REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, IN CONTAINERS EACH HOLDING MORE THAN 1.4 KG, FROZEN","KG",
"0710809726","BROCCOLI EXCEPT SPEARS, REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, IN CONTAINERS EACH HOLDING NOT OVER 1.4 KG, FROZEN","KG",
"0710809730","CAULIFLOWER, REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710809750","VEGETABLES, REDUCED IN SIZE, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, NESOI","KG",
"0710901100","MIXTURES OF PEA PODS AND WATER CHESTNUTS, OTHER THAN CHINESE WATER CHESTNUTS, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN","KG",
"0710909100","MIXTURES OF VEGETABLES, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, NESOI","KG",
"0711201800","OLIVES,NOT PITTED,GREEN IN COLOR,IN A SALINE SOLUTION GT 8KG,DRAINED WEIGHT,USED FOR REPACKING OR SALE,DESCRIBED IN ADDITINAL US NOTE 5 TO THIS CHAP","KG",
"0711202800","OLIVES, NOT PITTED, GREEN IN COLOR, IN A SALINE SOLUTION, IN CONTAINERS GT 8 KG, DRAINEDWEIGHT, TO BE USED AS REPACKING OR SALE AS GREN OLIVES, NESOI","KG",
"0711203800","OLIVES, NOT PITTED, PROVISIONALLY PRESERVED, BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION, NESOI","KG",
"0711204000","OLIVES, PITTED OR STUFFED, PROVISIONALLY PRESERVED, BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION","KG",
"0711400000","CUCUMBERS INCLUDING GHERKINS, PROVISIONALLY PRESERVED, BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION","KG",
"0711510000","MUSHROOMS OF THE GENUS AGARICUS, PROVISIONALLY PRESERVED, BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION","KG",
"0711591000","MUSHROOMS, PROVISIONALLY PRESERVED, BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION, NESOI","KG",
"0711599000","TRUFFLES, PROVISIONALLY PRESERVED, BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION","KG",
"0711902000","LEGUMINOUS VEGETABLES, PROVISIONALLY PRESERVED, BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION","KG",
"0711903000","CAPERS, PROVISIONALLY PRESERVED, BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION","KG",
"0711905000","ONIONS, PROVISIONALLY PRESERVED, BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION","KG",
"0711906500","VEGETABLES; MIXTURES OF VEGETABLES, PROVISIONALLY PRESERVED, BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION, NESOI","KG",
"0712202000","ONION POWDER OR FLOUR","KG",
"0712204000","ONIONS, DRIED (EXCEPT POWDER OR FLOUR), CUT, SLICED OR BROKEN, BUT NOT FURTHER PREPARED","KG",
"0712311000","MUSHROOMS OF THE GENUS AGARICUS, AIR DRIED OR SUN DRIED","KG",
"0712312000","MUSHROOMS OF THE GENUS AGARICUS, DRIED, (OTHER THAN AIR OR SUN DRIED), WHOLE, CUT, SLICED, BROKEN OR IN POWDER BUT NOT FURTHER PREPARED","KG",
"0712320000","WOOD EARS (AURICULARIA SPP.), DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED","KG",
"0712330000","JELLY FUNGI (TREMELLA SPP.), DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED","KG",
"0712391000","MUSHROOMS, AIR DRIED OR SUN DRIED, NESOI","KG",
"0712392000","MUSHROOMS, DRIED (OTHER THAN AIR OR SUN DRIED), WHOLE, CUT, SLICED, BROKEN OR IN POWDER BUT NOT FURTHER PREPARED","KG",
"0712394000","TRUFFLES, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED","KG",
"0712901000","CARROTS, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED","KG",
"0712901500","OLIVES, NOT RIPE, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED","KG",
"0712902000","OLIVES, RIPE, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED","KG",
"0712903000","POTATOES, DRIED, WHETHER OR NOT CUT OR SLICED BUT NOT FURTHER PREPARED","KG",
"0712904020","GARLIC POWDER OR FLOUR","KG",
"0712904040","GARLIC, DRIED (EXCEPT POWDER OR FLOUR), WHOLE, CUT, SLICED OR BROKEN, BUT NOT FURTHER PREPARED","KG",
"0712906000","FENNEL, MARJORAM, PARSLEY, SAVORY AND TARRAGON, DRIED, CRUDE OR NOT MANUFACTURED","KG",
"0712906500","PARSLEY, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED, NESOI","KG",
"0712907000","FENNEL, MARJORAM, SAVORY AND TARRAGON, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED, NESOI","KG",
"0712907400","TOMATOES, DRIED IN POWDER","KG",
"0712907800","TOMATOES, DRIED, WHOLE, CUT, SLICED, BROKEN, BUT NOT FURTHER PREPARED","KG",
"0712908510","BROCCOLI, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED","KG",
"0712908520","CELERY STALKS, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED","KG",
"0712908530","LEEKS, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED","KG",
"0712908540","SPINACH, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED","KG",
"0712908550","SWEET CORN SEEDS OF A KIND USED FOR SOWING, DRIED","KG",
"0712908580","VEGETABLES & MIXTURES OF VEGETABLES, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED, NESOI","KG",
"0713101000","PEAS (PISUM SATIVUM), SEEDS OF A KIND USED FOR SOWING, DRIED, SHELLED","KG",
"0713102000","SPLIT PEAS (EXCEPT SEED) DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT","KG",
"0713104005","YELLOW PEAS, EXCEPT SEED, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT CERTIFIED ORGANIC","KG",
"0713104015","YELLOW PEAS, EXCEPT SEED, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT, NESOI","KG",
"0713104020","GREEN PEAS, EXCEPT SEED, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT","KG",
"0713104060","AUSTRIAN WINTER PEAS, EXCEPT SEED, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT","KG",
"0713104080","PEAS (PISUM SATIVUM), DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT, NESOI","KG",
"0713201000","CHICKPEAS (GARBANZOS), SEEDS OF A KIND USED FOR SOWING, DRIED","KG",
"0713202010","KABULI CHICKPEAS (GARBANZOS), EXCEPT SEED, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT","KG",
"0713202090","CHICKPEAS (GARBANZOS), DRIED, SHELLED WHETHER OR NOT SKINNED OR SPLIT, NESOI","KG",
"0713311000","BEANS OF THE SPECIES VIGNA MUNGO (L.) HEPPER OR VIGNA RADIATA (L.) WILCZEK, SEEDS OF A KIND USED FOR SOWING, DRIED","KG",
"0713312000","BEANS OF THE SPECIES VIGNA MUNGO (L.) HEPPER OR VIGNA RADIATA (L.) WILCZEK, EXCEPT SEED, ENTERED FOR CONSUMPTION MAY 1 TO AUGUST 31, DRIED, SHELLED","KG",
"0713314000","BEANS, SPECIES VIGNA MUNGO (L.) HEPPER OR V. RADIATA (L.) WILCZEK, EXCEPT SEED, ENTERED OR WITHDRAWN FOR CONSUMPTION SEPT. 1- APRIL 30, DRIED, SHELLED","KG",
"0713321000","SMALL RED (ADZUKI) BEANS (PHASEOLUS OR VIGNA ANGULARIS), SEEDS OF A KIND USED FOR SOWING, DRIED","KG",
"0713322000","SMALL RED (ADZUKI) BEANS (PHASEOLUS OR VIGNA ANGULARIS), EXCEPT SEED, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT","KG",
"0713331020","NAVY OR PEA BEANS, SEEDS OF A KIND USED FOR SOWING","KG",
"0713331040","KIDNEY BEANS, SEEDS OF A KIND USED FOR SOWING, NESOI","KG",
"0713332020","NAVY OR PEA BEANS, EXCEPT SEED, ENTERED FOR CONSUMPTION DURING THE PERIOD FROM MAY 1 TO AUGUST 31, INCLUSIVE IN ANY YEAR, DRIED, SHELLED","KG",
"0713332030","DARK RED KIDNEY BEANS, EXCEPT SEED, ENTERED FOR CONSUMPTION DURING THE PERIOD MAY 1 TO AUGUST 31, INCLUSIVE, DRIED, SHELLED","KG",
"0713332050","LIGHT RED KIDNEY BEANS, EXCEPT SEED, ENTERED FOR CONSUMPTION DURING THE PERIOD MAY 1 TO AUGUST 31, INCLUSIVE, DRIED, SHELLED","KG",
"0713334020","NAVY OR PEA BEANS, EXCEPT SEED, ENTERED FOR CONSUMPTION SEPT 1 - APRIL 30 OR WITHDRAWN FOR CONSUMPTION AT ANY TIME, DRIED, SHELLED","KG",
"0713334030","DARK RED KIDNEY BEANS, EXCEPT SEED, ENTERED FOR CONSUMPTION SEPT 1 - APRIL 30 OR WITHDRAWN FOR CONSUMPTION AT ANY TIME, DRIED SHELLED","KG",
"0713334050","LIGHT RED KIDNEY BEANS, EXCEPT SEED, ENTERED FOR CONSUMPTION SEPT 1 - APRIL 30 OR WITHDRAWN FOR CONSUMPTION AT ANY TIME, DRIED SHELLED","KG",
"0713341000","BAMBARA BEANS (VIGNA SUBTERRANEA OR VOANDZEIA SUBTERRANEA) OF A KIND USED FOR SOWING","KG",
"0713342000","BAMBARA BEANS (VIGNA SUBTERRANEA OR VOANDZEIA SUBTERRANEA), EXCEPT FOR SOWING, ENTERED FOR CONSUMPTION MAY 1 TO AUGUST 31, DRIED, SHELLED","KG",
"0713344000","BAMBARA BEANS EXCEPT SEED FOR SOWING, ENTERED FOR CONSUMPTION SEPT 1 TO APRIL 30 OR WITHDRAWN FOR CONSUMPTION AT ANY TIME, DRIED, SHELLED","KG",
"0713350000","COWPEAS, EXCEPT SEED, DRIED, SHELLED","KG",
"0713391110","CRANBERRY BEANS, OF A KIND USED FOR SOWING, DRIED","KG",
"0713391190","BEAN (VIGNA SPP., PHASEOLUS SPP.) SEEDS OF A KIND USED FOR SOWING, DRIED, NESOI","KG",
"0713392110","BLACK BEANS EXCEPT SEED, ENTERED FOR CONSUMPTION MAY 1 TO AUGUST 31, DRIED, SHELLED","KG",
"0713392120","GREAT NORTHERN BEANS EXCEPT SEED, ENTERED FOR CONSUMPTION MAY 1 TO AUGUST 31, DRIED, SHELLED","KG",
"0713392130","BABY LIMA BEANS EXCEPT SEED ENTERED FOR CONSUMPTION MAY 1 TO AUGUST 31, DRIED, SHELLED","KG",
"0713392140","LIMA BEANS EXCEPT SEED, ENTERED FOR CONSUMPTION MAY 1 TO AUGUST 31, DRIED, SHELLED, NESOI","KG",
"0713392150","PINTO BEANS EXCEPT SEED, ENTERED FOR CONSUMPTION MAY 1 TO AUGUST 31, DRIED, SHELLED","KG",
"0713392160","WHITE BEANS EXCEPT SEED, ENTERED FOR CONSUMPTION MAY 1 TO AUGUST 31, DRIED, SHELLED, NESOI","KG",
"0713394110","BLACK BEANS EXCEPT SEED, ENTERED FOR CONSUMPTION SEPTEMBER 1 TO APRIL 30 OR WITHDRAWN FOR CONSUMPTION AT ANY TIME, DRIED, SHELLED","KG",
"0713394120","GREAT NORTHERN BEANS EXCEPT SEED, ENTERED OR WITHDRAWN FOR CONSUMPTION SEPTEMBER 1 TO APRIL 30 OR WITHDRAWN FOR CONSUMPTION AT ANY TIME, DRIED, SHELLE","KG",
